"","id_districts","SPÖ","ÖVP","FPÖ","GRÜNE","KPÖ","BZÖ","CP-G","PIRAT","EKW","BBB","WIR"
"graz_grw2012_bez$stimmen[start:end]","1","152","451","158","242","351","21","6","73","1","4","6"
"graz_grw2012_bez$stimmen[start:end].1","2","639","2143","569","1169","1329","54","38","258","21","17","9"
"graz_grw2012_bez$stimmen[start:end].2","3","1053","3435","935","1680","1984","94","53","330","23","25","31"
"graz_grw2012_bez$stimmen[start:end].3","4","1662","2202","1397","954","2020","112","27","222","8","13","20"
"graz_grw2012_bez$stimmen[start:end].4","5","1126","1694","1027","686","1731","76","25","203","8","13","16"
"graz_grw2012_bez$stimmen[start:end].5","6","1566","2862","1404","1380","2696","134","46","344","28","20","20"
"graz_grw2012_bez$stimmen[start:end].6","7","1072","1845","928","324","887","73","17","91","8","9","13"
"graz_grw2012_bez$stimmen[start:end].7","8","1938","5758","1866","2274","2733","215","67","375","36","25","42"
"graz_grw2012_bez$stimmen[start:end].8","9","548","2299","694","673","902","69","28","135","7","4","20"
"graz_grw2012_bez$stimmen[start:end].9","10","318","1044","278","326","436","41","21","68","0","4","10"
"graz_grw2012_bez$stimmen[start:end].10","11","375","1904","392","595","674","38","29","114","10","4","7"
"graz_grw2012_bez$stimmen[start:end].11","12","1504","3175","985","981","1519","129","93","204","15","14","23"
"graz_grw2012_bez$stimmen[start:end].12","13","775","1126","686","258","669","90","21","72","5","3","10"
"graz_grw2012_bez$stimmen[start:end].13","14","1180","2057","1226","636","1340","92","38","180","12","13","22"
"graz_grw2012_bez$stimmen[start:end].14","15","1123","1723","1056","361","1130","95","20","91","9","10","12"
"graz_grw2012_bez$stimmen[start:end].15","16","1149","1906","1006","333","1026","84","41","100","8","4","14"
"graz_grw2012_bez$stimmen[start:end].16","17","494","814","549","181","429","54","17","59","2","3","14"
"","27","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
