"";"id_bezirke";"bezirke";"mann";"frau";"SPÖ";"ÖVP";"FPÖ";"GRÜNE";"KPÖ";"BZÖ";"CP-G";"PIRAT";"EKW";"BBB";"WIR"
"1";"1";"Innere Stadt";1613;1610;"152";"451";"158";"242";"351";"21";"6";"73";"1";"4";"6"
"2";"2";"St Leonhard";6237;6908;"639";"2143";"569";"1169";"1329";"54";"38";"258";"21";"17";"9"
"3";"3";"Geidorf";8973;10964;"1053";"3435";"935";"1680";"1984";"94";"53";"330";"23";"25";"31"
"4";"4";"Lend";9946;10896;"1662";"2202";"1397";"954";"2020";"112";"27";"222";"8";"13";"20"
"5";"5";"Gries";8852;8907;"1126";"1694";"1027";"686";"1731";"76";"25";"203";"8";"13";"16"
"6";"6";"Jakomini";11866;12724;"1566";"2862";"1404";"1380";"2696";"134";"46";"344";"28";"20";"20"
"7";"7";"Liebenau";4936;5416;"1072";"1845";"928";"324";"887";"73";"17";"91";"8";"9";"13"
"8";"8";"St.Peter";5615;6425;"1938";"5758";"1866";"2274";"2733";"215";"67";"375";"36";"25";"42"
"9";"9";"Waltendorf";4596;5268;"548";"2299";"694";"673";"902";"69";"28";"135";"7";"4";"20"
"10";"10";"Ries";2188;2620;"318";"1044";"278";"326";"436";"41";"21";"68";"0";"4";"10"
"11";"11";"Mariatrost";3509;3931;"375";"1904";"392";"595";"674";"38";"29";"114";"10";"4";"7"
"12";"12";"Andritz";7064;7905;"1504";"3175";"985";"981";"1519";"129";"93";"204";"15";"14";"23"
"13";"13";"Gösting";3707;4119;"775";"1126";"686";"258";"669";"90";"21";"72";"5";"3";"10"
"14";"14";"Eggenberg";6748;7852;"1180";"2057";"1226";"636";"1340";"92";"38";"180";"12";"13";"22"
"15";"15";"Wetzelsdorf";5200;6347;"1123";"1723";"1056";"361";"1130";"95";"20";"91";"9";"10";"12"
"16";"16";"Straßgang";5423;5856;"1149";"1906";"1006";"333";"1026";"84";"41";"100";"8";"4";"14"
"17";"17";"Puntigam";2748;2836;"494";"814";"549";"181";"429";"54";"17";"59";"2";"3";"14"
"27";"27";"Virtuell";0;0;"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA"
