"";"numDistrict";"authAll";"authMenAbs";"authWomenAbs";"authMenRel";"authWomenRel"
"1";1;3223;1613;1610;50,0465404902265;49,9534595097735
"2";2;13145;6237;6908;47,4476987447699;52,5523012552301
"3";3;19937;8973;10964;45,0067713296885;54,9932286703115
"4";4;20842;9946;10896;47,7209480855964;52,2790519144036
"5";5;17759;8852;8907;49,8451489385664;50,1548510614336
"6";6;24590;11866;12724;48,2553883692558;51,7446116307442
"7";7;10352;4936;5416;47,6816074188563;52,3183925811437
"8";8;11959;5595;6364;46,7848482314575;53,2151517685425
"9";9;9864;4596;5268;46,5936739659367;53,4063260340633
"10";10;4808;2188;2620;45,5074875207987;54,4925124792013
"11";11;7440;3509;3931;47,1639784946237;52,8360215053763
"12";12;14969;7064;7905;47,1908611129668;52,8091388870332
"13";13;7826;3707;4119;47,3677485305392;52,6322514694608
"14";14;14600;6748;7852;46,2191780821918;53,7808219178082
"15";15;11547;5200;6347;45,0333419935914;54,9666580064086
"16";16;11279;5423;5856;48,0805035907439;51,9194964092561
"17";17;5584;2748;2836;49,2120343839542;50,7879656160459
