"";"numDistrict";"allVotes";"validVotesAbs";"unvalidVotesAbs";"validVotesRel";"unvalidVotesRel";"electionParticipation"
"1";1;1485;1465;20;98,6531986531986;1,34680134680135;46,0750853242321
"2";2;6354;6246;108;98,300283286119;1,69971671388102;48,3377710155953
"3";3;9776;9643;133;98,6395253682488;1,36047463175123;49,0344585444149
"4";4;8771;8637;134;98,4722380572341;1,52776194276593;42,0832933499664
"5";5;6741;6605;136;97,9824951787569;2,01750482124314;37,9582183681514
"6";6;10707;10500;207;98,0666853460353;1,9333146539647;43,5420902806019
"7";7;5376;5267;109;97,9724702380952;2,02752976190476;51,9319938176198
"8";8;6709;6607;102;98,4796541958563;1,52034580414369;56,1000083619032
"9";9;5471;5379;92;98,3184061414732;1,68159385852678;55,4643146796431
"10";10;2576;2546;30;98,8354037267081;1,16459627329193;53,5773710482529
"11";11;4200;4142;58;98,6190476190476;1,38095238095238;56,4516129032258
"12";12;8806;8642;164;98,1376334317511;1,86236656824892;58,8282450397488
"13";13;3815;3715;100;97,3787680209699;2,62123197903014;48,7477638640429
"14";14;6927;6796;131;98,1088494297676;1,89115057023242;47,4452054794521
"15";15;5758;5630;128;97,7770059048281;2,22299409517193;49,8657659998268
"16";16;5778;5671;107;98,1481481481482;1,85185185185185;51,2279457398705
"17";17;2642;2616;26;99,0158970476912;0,984102952308857;47,3137535816619
